T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2013-2014,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2013-2014,13,BLANCO COUNTY,Grade 10,127
2013-2014,13,BLANCO COUNTY,Grade 11,123
2013-2014,13,BLANCO COUNTY,Grade 12,106
2013-2014,17,BORDEN COUNTY,Early Education,-9999999
2013-2014,17,BORDEN COUNTY,Kindergarten,18
2013-2014,17,BORDEN COUNTY,Grade  1,16
2013-2014,17,BORDEN COUNTY,Grade  2,21
2013-2014,17,BORDEN COUNTY,Grade  3,19
2013-2014,17,BORDEN COUNTY,Grade  4,17
2013-2014,17,BORDEN COUNTY,Grade  5,27
2013-2014,17,BORDEN COUNTY,Grade  6,26
2013-2014,17,BORDEN COUNTY,Grade  7,20
2013-2014,17,BORDEN COUNTY,Grade  8,21
2013-2014,17,BORDEN COUNTY,Grade  9,19
2013-2014,17,BORDEN COUNTY,Grade 10,21
2013-2014,17,BORDEN COUNTY,Grade 11,16
2013-2014,17,BORDEN COUNTY,Grade 12,15
2013-2014,12,BOSQUE COUNTY,Early Education,-9999999
2013-2014,12,BOSQUE COUNTY,Pre-kindergarten,178
2013-2014,12,BOSQUE COUNTY,Kindergarten,215
2013-2014,12,BOSQUE COUNTY,Grade  1,224
2013-2014,12,BOSQUE COUNTY,Grade  2,214
2013-2014,12,BOSQUE COUNTY,Grade  3,218
2013-2014,12,BOSQUE COUNTY,Grade  4,197
2013-2014,12,BOSQUE COUNTY,Grade  5,192
2013-2014,12,BOSQUE COUNTY,Grade  6,222
2013-2014,12,BOSQUE COUNTY,Grade  7,210
2013-2014,12,BOSQUE COUNTY,Grade  8,226
2013-2014,12,BOSQUE COUNTY,Grade  9,252
2013-2014,12,BOSQUE COUNTY,Grade 10,203
2013-2014,12,BOSQUE COUNTY,Grade 11,206
2013-2014,12,BOSQUE COUNTY,Grade 12,196
2013-2014,8,BOWIE COUNTY,Early Education,47
2013-2014,8,BOWIE COUNTY,Pre-kindergarten,1161
2013-2014,8,BOWIE COUNTY,Kindergarten,1340
2013-2014,8,BOWIE COUNTY,Grade  1,1418
2013-2014,8,BOWIE COUNTY,Grade  2,1277
2013-2014,8,BOWIE COUNTY,Grade  3,1284
2013-2014,8,BOWIE COUNTY,Grade  4,1257
2013-2014,8,BOWIE COUNTY,Grade  5,1302
2013-2014,8,BOWIE COUNTY,Grade  6,1314
2013-2014,8,BOWIE COUNTY,Grade  7,1350
2013-2014,8,BOWIE COUNTY,Grade  8,1328
2013-2014,8,BOWIE COUNTY,Grade  9,1417
2013-2014,8,BOWIE COUNTY,Grade 10,1206
2013-2014,8,BOWIE COUNTY,Grade 11,1164
2013-2014,8,BOWIE COUNTY,Grade 12,1123
2013-2014,4,BRAZORIA COUNTY,Early Education,278
2013-2014,4,BRAZORIA COUNTY,Pre-kindergarten,2004
2013-2014,4,BRAZORIA COUNTY,Kindergarten,4871
2013-2014,4,BRAZORIA COUNTY,Grade  1,4880
2013-2014,4,BRAZORIA COUNTY,Grade  2,4974
2013-2014,4,BRAZORIA COUNTY,Grade  3,4911
2013-2014,4,BRAZORIA COUNTY,Grade  4,4782
2013-2014,4,BRAZORIA COUNTY,Grade  5,5011
2013-2014,4,BRAZORIA COUNTY,Grade  6,4944
2013-2014,4,BRAZORIA COUNTY,Grade  7,4910
2013-2014,4,BRAZORIA COUNTY,Grade  8,5037
2013-2014,4,BRAZORIA COUNTY,Grade  9,5164
2013-2014,4,BRAZORIA COUNTY,Grade 10,4759
2013-2014,4,BRAZORIA COUNTY,Grade 11,4415
2013-2014,4,BRAZORIA COUNTY,Grade 12,3772
2013-2014,6,BRAZOS COUNTY,Early Education,136
2013-2014,6,BRAZOS COUNTY,Pre-kindergarten,990
2013-2014,6,BRAZOS COUNTY,Kindergarten,2549
2013-2014,6,BRAZOS COUNTY,Grade  1,2563
2013-2014,6,BRAZOS COUNTY,Grade  2,2390
2013-2014,6,BRAZOS COUNTY,Grade  3,2356
2013-2014,6,BRAZOS COUNTY,Grade  4,2202
2013-2014,6,BRAZOS COUNTY,Grade  5,2225
2013-2014,6,BRAZOS COUNTY,Grade  6,2024
2013-2014,6,BRAZOS COUNTY,Grade  7,2101
2013-2014,6,BRAZOS COUNTY,Grade  8,2021
2013-2014,6,BRAZOS COUNTY,Grade  9,2404
2013-2014,6,BRAZOS COUNTY,Grade 10,1825
2013-2014,6,BRAZOS COUNTY,Grade 11,1630
2013-2014,6,BRAZOS COUNTY,Grade 12,1443
2013-2014,18,BREWSTER COUNTY,Early Education,-9999999
2013-2014,18,BREWSTER COUNTY,Pre-kindergarten,54
2013-2014,18,BREWSTER COUNTY,Kindergarten,78
2013-2014,18,BREWSTER COUNTY,Grade  1,99
2013-2014,18,BREWSTER COUNTY,Grade  2,112
2013-2014,18,BREWSTER COUNTY,Grade  3,85
2013-2014,18,BREWSTER COUNTY,Grade  4,99
2013-2014,18,BREWSTER COUNTY,Grade  5,91
2013-2014,18,BREWSTER COUNTY,Grade  6,79
2013-2014,18,BREWSTER COUNTY,Grade  7,81
2013-2014,18,BREWSTER COUNTY,Grade  8,107
2013-2014,18,BREWSTER COUNTY,Grade  9,85
2013-2014,18,BREWSTER COUNTY,Grade 10,90
2013-2014,18,BREWSTER COUNTY,Grade 11,69
2013-2014,18,BREWSTER COUNTY,Grade 12,82
2013-2014,16,BRISCOE COUNTY,Pre-kindergarten,13
2013-2014,16,BRISCOE COUNTY,Kindergarten,16
2013-2014,16,BRISCOE COUNTY,Grade  1,14
2013-2014,16,BRISCOE COUNTY,Grade  2,20
2013-2014,16,BRISCOE COUNTY,Grade  3,12
2013-2014,16,BRISCOE COUNTY,Grade  4,10
2013-2014,16,BRISCOE COUNTY,Grade  5,14
2013-2014,16,BRISCOE COUNTY,Grade  6,13
2013-2014,16,BRISCOE COUNTY,Grade  7,16
2013-2014,16,BRISCOE COUNTY,Grade  8,14
2013-2014,16,BRISCOE COUNTY,Grade  9,14
2013-2014,16,BRISCOE COUNTY,Grade 10,12
2013-2014,16,BRISCOE COUNTY,Grade 11,9
2013-2014,16,BRISCOE COUNTY,Grade 12,10
2013-2014,2,BROOKS COUNTY,Early Education,10
2013-2014,2,BROOKS COUNTY,Pre-kindergarten,78
2013-2014,2,BROOKS COUNTY,Kindergarten,125
2013-2014,2,BROOKS COUNTY,Grade  1,137
2013-2014,2,BROOKS COUNTY,Grade  2,133
2013-2014,2,BROOKS COUNTY,Grade  3,102
2013-2014,2,BROOKS COUNTY,Grade  4,119
2013-2014,2,BROOKS COUNTY,Grade  5,95
2013-2014,2,BROOKS COUNTY,Grade  6,102
2013-2014,2,BROOKS COUNTY,Grade  7,126
2013-2014,2,BROOKS COUNTY,Grade  8,117
2013-2014,2,BROOKS COUNTY,Grade  9,114
2013-2014,2,BROOKS COUNTY,Grade 10,109
2013-2014,2,BROOKS COUNTY,Grade 11,99
2013-2014,2,BROOKS COUNTY,Grade 12,76
2013-2014,15,BROWN COUNTY,Early Education,33
2013-2014,15,BROWN COUNTY,Pre-kindergarten,244
2013-2014,15,BROWN COUNTY,Kindergarten,500
2013-2014,15,BROWN COUNTY,Grade  1,532
2013-2014,15,BROWN COUNTY,Grade  2,452
2013-2014,15,BROWN COUNTY,Grade  3,499
2013-2014,15,BROWN COUNTY,Grade  4,489
2013-2014,15,BROWN COUNTY,Grade  5,482
2013-2014,15,BROWN COUNTY,Grade  6,511
2013-2014,15,BROWN COUNTY,Grade  7,527
2013-2014,15,BROWN COUNTY,Grade  8,518
2013-2014,15,BROWN COUNTY,Grade  9,540
2013-2014,15,BROWN COUNTY,Grade 10,468
2013-2014,15,BROWN COUNTY,Grade 11,413
2013-2014,15,BROWN COUNTY,Grade 12,402
2013-2014,6,BURLESON COUNTY,Early Education,7
2013-2014,6,BURLESON COUNTY,Pre-kindergarten,132
2013-2014,6,BURLESON COUNTY,Kindergarten,227
2013-2014,6,BURLESON COUNTY,Grade  1,220
2013-2014,6,BURLESON COUNTY,Grade  2,181
2013-2014,6,BURLESON COUNTY,Grade  3,227
2013-2014,6,BURLESON COUNTY,Grade  4,209
2013-2014,6,BURLESON COUNTY,Grade  5,191
2013-2014,6,BURLESON COUNTY,Grade  6,180
2013-2014,6,BURLESON COUNTY,Grade  7,209
2013-2014,6,BURLESON COUNTY,Grade  8,219
2013-2014,6,BURLESON COUNTY,Grade  9,218
2013-2014,6,BURLESON COUNTY,Grade 10,201
2013-2014,6,BURLESON COUNTY,Grade 11,185
2013-2014,6,BURLESON COUNTY,Grade 12,181
2013-2014,13,BURNET COUNTY,Early Education,28
2013-2014,13,BURNET COUNTY,Pre-kindergarten,251
2013-2014,13,BURNET COUNTY,Kindergarten,538
2013-2014,13,BURNET COUNTY,Grade  1,511
2013-2014,13,BURNET COUNTY,Grade  2,552
2013-2014,13,BURNET COUNTY,Grade  3,544
2013-2014,13,BURNET COUNTY,Grade  4,509
2013-2014,13,BURNET COUNTY,Grade  5,528
2013-2014,13,BURNET COUNTY,Grade  6,551
2013-2014,13,BURNET COUNTY,Grade  7,553
2013-2014,13,BURNET COUNTY,Grade  8,552
2013-2014,13,BURNET COUNTY,Grade  9,588
2013-2014,13,BURNET COUNTY,Grade 10,558
2013-2014,13,BURNET COUNTY,Grade 11,474
2013-2014,13,BURNET COUNTY,Grade 12,494
2013-2014,13,CALDWELL COUNTY,Early Education,22
2013-2014,13,CALDWELL COUNTY,Pre-kindergarten,334
2013-2014,13,CALDWELL COUNTY,Kindergarten,508
2013-2014,13,CALDWELL COUNTY,Grade  1,513
2013-2014,13,CALDWELL COUNTY,Grade  2,514
2013-2014,13,CALDWELL COUNTY,Grade  3,515
2013-2014,13,CALDWELL COUNTY,Grade  4,512
2013-2014,13,CALDWELL COUNTY,Grade  5,511
2013-2014,13,CALDWELL COUNTY,Grade  6,441
2013-2014,13,CALDWELL COUNTY,Grade  7,537
2013-2014,13,CALDWELL COUNTY,Grade  8,458
2013-2014,13,CALDWELL COUNTY,Grade  9,535
2013-2014,13,CALDWELL COUNTY,Grade 10,491
2013-2014,13,CALDWELL COUNTY,Grade 11,421
2013-2014,13,CALDWELL COUNTY,Grade 12,424
2013-2014,3,CALHOUN COUNTY,Early Education,8
2013-2014,3,CALHOUN COUNTY,Pre-kindergarten,196
2013-2014,3,CALHOUN COUNTY,Kindergarten,307
2013-2014,3,CALHOUN COUNTY,Grade  1,360
2013-2014,3,CALHOUN COUNTY,Grade  2,332
2013-2014,3,CALHOUN COUNTY,Grade  3,273
2013-2014,3,CALHOUN COUNTY,Grade  4,310
2013-2014,3,CALHOUN COUNTY,Grade  5,324
2013-2014,3,CALHOUN COUNTY,Grade  6,333
2013-2014,3,CALHOUN COUNTY,Grade  7,301
2013-2014,3,CALHOUN COUNTY,Grade  8,336
2013-2014,3,CALHOUN COUNTY,Grade  9,352
2013-2014,3,CALHOUN COUNTY,Grade 10,312
2013-2014,3,CALHOUN COUNTY,Grade 11,294
2013-2014,3,CALHOUN COUNTY,Grade 12,244
2013-2014,14,CALLAHAN COUNTY,Early Education,11
2013-2014,14,CALLAHAN COUNTY,Pre-kindergarten,93
2013-2014,14,CALLAHAN COUNTY,Kindergarten,179
2013-2014,14,CALLAHAN COUNTY,Grade  1,179
2013-2014,14,CALLAHAN COUNTY,Grade  2,174
2013-2014,14,CALLAHAN COUNTY,Grade  3,179
2013-2014,14,CALLAHAN COUNTY,Grade  4,195
2013-2014,14,CALLAHAN COUNTY,Grade  5,168
2013-2014,14,CALLAHAN COUNTY,Grade  6,205
2013-2014,14,CALLAHAN COUNTY,Grade  7,198
2013-2014,14,CALLAHAN COUNTY,Grade  8,193
2013-2014,14,CALLAHAN COUNTY,Grade  9,190
2013-2014,14,CALLAHAN COUNTY,Grade 10,177
2013-2014,14,CALLAHAN COUNTY,Grade 11,167
2013-2014,14,CALLAHAN COUNTY,Grade 12,147
2013-2014,1,CAMERON COUNTY,Early Education,278
2013-2014,1,CAMERON COUNTY,Pre-kindergarten,6386
2013-2014,1,CAMERON COUNTY,Kindergarten,7003
2013-2014,1,CAMERON COUNTY,Grade  1,7442
2013-2014,1,CAMERON COUNTY,Grade  2,7254
2013-2014,1,CAMERON COUNTY,Grade  3,7298
2013-2014,1,CAMERON COUNTY,Grade  4,7320
