T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,
,,,,
YEAR ,REGION,COUNTY,GRADE,ENROLLMENT
2014-2015,17,BORDEN COUNTY,Grade  9,22
2014-2015,17,BORDEN COUNTY,Grade 10,19
2014-2015,17,BORDEN COUNTY,Grade 11,19
2014-2015,17,BORDEN COUNTY,Grade 12,14
2014-2015,12,BOSQUE COUNTY,Early Education,-9999999
2014-2015,12,BOSQUE COUNTY,Pre-kindergarten,161
2014-2015,12,BOSQUE COUNTY,Kindergarten,204
2014-2015,12,BOSQUE COUNTY,Grade  1,223
2014-2015,12,BOSQUE COUNTY,Grade  2,218
2014-2015,12,BOSQUE COUNTY,Grade  3,189
2014-2015,12,BOSQUE COUNTY,Grade  4,210
2014-2015,12,BOSQUE COUNTY,Grade  5,197
2014-2015,12,BOSQUE COUNTY,Grade  6,190
2014-2015,12,BOSQUE COUNTY,Grade  7,224
2014-2015,12,BOSQUE COUNTY,Grade  8,209
2014-2015,12,BOSQUE COUNTY,Grade  9,241
2014-2015,12,BOSQUE COUNTY,Grade 10,243
2014-2015,12,BOSQUE COUNTY,Grade 11,191
2014-2015,12,BOSQUE COUNTY,Grade 12,208
2014-2015,8,BOWIE COUNTY,Early Education,43
2014-2015,8,BOWIE COUNTY,Pre-kindergarten,1139
2014-2015,8,BOWIE COUNTY,Kindergarten,1386
2014-2015,8,BOWIE COUNTY,Grade  1,1370
2014-2015,8,BOWIE COUNTY,Grade  2,1362
2014-2015,8,BOWIE COUNTY,Grade  3,1293
2014-2015,8,BOWIE COUNTY,Grade  4,1276
2014-2015,8,BOWIE COUNTY,Grade  5,1278
2014-2015,8,BOWIE COUNTY,Grade  6,1299
2014-2015,8,BOWIE COUNTY,Grade  7,1298
2014-2015,8,BOWIE COUNTY,Grade  8,1304
2014-2015,8,BOWIE COUNTY,Grade  9,1330
2014-2015,8,BOWIE COUNTY,Grade 10,1282
2014-2015,8,BOWIE COUNTY,Grade 11,1159
2014-2015,8,BOWIE COUNTY,Grade 12,1092
2014-2015,4,BRAZORIA COUNTY,Early Education,280
2014-2015,4,BRAZORIA COUNTY,Pre-kindergarten,1957
2014-2015,4,BRAZORIA COUNTY,Kindergarten,4922
2014-2015,4,BRAZORIA COUNTY,Grade  1,5184
2014-2015,4,BRAZORIA COUNTY,Grade  2,5044
2014-2015,4,BRAZORIA COUNTY,Grade  3,5077
2014-2015,4,BRAZORIA COUNTY,Grade  4,4990
2014-2015,4,BRAZORIA COUNTY,Grade  5,4917
2014-2015,4,BRAZORIA COUNTY,Grade  6,5079
2014-2015,4,BRAZORIA COUNTY,Grade  7,5046
2014-2015,4,BRAZORIA COUNTY,Grade  8,4970
2014-2015,4,BRAZORIA COUNTY,Grade  9,5598
2014-2015,4,BRAZORIA COUNTY,Grade 10,4847
2014-2015,4,BRAZORIA COUNTY,Grade 11,4631
2014-2015,4,BRAZORIA COUNTY,Grade 12,3979
2014-2015,6,BRAZOS COUNTY,Early Education,217
2014-2015,6,BRAZOS COUNTY,Pre-kindergarten,1030
2014-2015,6,BRAZOS COUNTY,Kindergarten,2494
2014-2015,6,BRAZOS COUNTY,Grade  1,2721
2014-2015,6,BRAZOS COUNTY,Grade  2,2494
2014-2015,6,BRAZOS COUNTY,Grade  3,2337
2014-2015,6,BRAZOS COUNTY,Grade  4,2362
2014-2015,6,BRAZOS COUNTY,Grade  5,2183
2014-2015,6,BRAZOS COUNTY,Grade  6,2144
2014-2015,6,BRAZOS COUNTY,Grade  7,2009
2014-2015,6,BRAZOS COUNTY,Grade  8,2119
2014-2015,6,BRAZOS COUNTY,Grade  9,2369
2014-2015,6,BRAZOS COUNTY,Grade 10,2031
2014-2015,6,BRAZOS COUNTY,Grade 11,1685
2014-2015,6,BRAZOS COUNTY,Grade 12,1601
2014-2015,18,BREWSTER COUNTY,Early Education,-9999999
2014-2015,18,BREWSTER COUNTY,Pre-kindergarten,55
2014-2015,18,BREWSTER COUNTY,Kindergarten,81
2014-2015,18,BREWSTER COUNTY,Grade  1,86
2014-2015,18,BREWSTER COUNTY,Grade  2,91
2014-2015,18,BREWSTER COUNTY,Grade  3,105
2014-2015,18,BREWSTER COUNTY,Grade  4,80
2014-2015,18,BREWSTER COUNTY,Grade  5,99
2014-2015,18,BREWSTER COUNTY,Grade  6,94
2014-2015,18,BREWSTER COUNTY,Grade  7,75
2014-2015,18,BREWSTER COUNTY,Grade  8,84
2014-2015,18,BREWSTER COUNTY,Grade  9,99
2014-2015,18,BREWSTER COUNTY,Grade 10,75
2014-2015,18,BREWSTER COUNTY,Grade 11,79
2014-2015,18,BREWSTER COUNTY,Grade 12,67
2014-2015,16,BRISCOE COUNTY,Pre-kindergarten,7
2014-2015,16,BRISCOE COUNTY,Kindergarten,13
2014-2015,16,BRISCOE COUNTY,Grade  1,16
2014-2015,16,BRISCOE COUNTY,Grade  2,12
2014-2015,16,BRISCOE COUNTY,Grade  3,20
2014-2015,16,BRISCOE COUNTY,Grade  4,11
2014-2015,16,BRISCOE COUNTY,Grade  5,9
2014-2015,16,BRISCOE COUNTY,Grade  6,18
2014-2015,16,BRISCOE COUNTY,Grade  7,13
2014-2015,16,BRISCOE COUNTY,Grade  8,17
2014-2015,16,BRISCOE COUNTY,Grade  9,15
2014-2015,16,BRISCOE COUNTY,Grade 10,13
2014-2015,16,BRISCOE COUNTY,Grade 11,13
2014-2015,16,BRISCOE COUNTY,Grade 12,8
2014-2015,2,BROOKS COUNTY,Early Education,11
2014-2015,2,BROOKS COUNTY,Pre-kindergarten,78
2014-2015,2,BROOKS COUNTY,Kindergarten,106
2014-2015,2,BROOKS COUNTY,Grade  1,126
2014-2015,2,BROOKS COUNTY,Grade  2,129
2014-2015,2,BROOKS COUNTY,Grade  3,129
2014-2015,2,BROOKS COUNTY,Grade  4,111
2014-2015,2,BROOKS COUNTY,Grade  5,110
2014-2015,2,BROOKS COUNTY,Grade  6,94
2014-2015,2,BROOKS COUNTY,Grade  7,108
2014-2015,2,BROOKS COUNTY,Grade  8,119
2014-2015,2,BROOKS COUNTY,Grade  9,121
2014-2015,2,BROOKS COUNTY,Grade 10,104
2014-2015,2,BROOKS COUNTY,Grade 11,105
2014-2015,2,BROOKS COUNTY,Grade 12,88
2014-2015,15,BROWN COUNTY,Early Education,29
2014-2015,15,BROWN COUNTY,Pre-kindergarten,302
2014-2015,15,BROWN COUNTY,Kindergarten,491
2014-2015,15,BROWN COUNTY,Grade  1,509
2014-2015,15,BROWN COUNTY,Grade  2,513
2014-2015,15,BROWN COUNTY,Grade  3,466
2014-2015,15,BROWN COUNTY,Grade  4,504
2014-2015,15,BROWN COUNTY,Grade  5,502
2014-2015,15,BROWN COUNTY,Grade  6,480
2014-2015,15,BROWN COUNTY,Grade  7,529
2014-2015,15,BROWN COUNTY,Grade  8,534
2014-2015,15,BROWN COUNTY,Grade  9,556
2014-2015,15,BROWN COUNTY,Grade 10,492
2014-2015,15,BROWN COUNTY,Grade 11,458
2014-2015,15,BROWN COUNTY,Grade 12,378
2014-2015,6,BURLESON COUNTY,Early Education,-9999999
2014-2015,6,BURLESON COUNTY,Pre-kindergarten,114
2014-2015,6,BURLESON COUNTY,Kindergarten,198
2014-2015,6,BURLESON COUNTY,Grade  1,228
2014-2015,6,BURLESON COUNTY,Grade  2,219
2014-2015,6,BURLESON COUNTY,Grade  3,187
2014-2015,6,BURLESON COUNTY,Grade  4,226
2014-2015,6,BURLESON COUNTY,Grade  5,195
2014-2015,6,BURLESON COUNTY,Grade  6,184
2014-2015,6,BURLESON COUNTY,Grade  7,184
2014-2015,6,BURLESON COUNTY,Grade  8,213
2014-2015,6,BURLESON COUNTY,Grade  9,233
2014-2015,6,BURLESON COUNTY,Grade 10,207
2014-2015,6,BURLESON COUNTY,Grade 11,193
2014-2015,6,BURLESON COUNTY,Grade 12,174
2014-2015,13,BURNET COUNTY,Early Education,25
2014-2015,13,BURNET COUNTY,Pre-kindergarten,253
2014-2015,13,BURNET COUNTY,Kindergarten,493
2014-2015,13,BURNET COUNTY,Grade  1,550
2014-2015,13,BURNET COUNTY,Grade  2,523
2014-2015,13,BURNET COUNTY,Grade  3,567
2014-2015,13,BURNET COUNTY,Grade  4,545
2014-2015,13,BURNET COUNTY,Grade  5,511
2014-2015,13,BURNET COUNTY,Grade  6,508
2014-2015,13,BURNET COUNTY,Grade  7,554
2014-2015,13,BURNET COUNTY,Grade  8,549
2014-2015,13,BURNET COUNTY,Grade  9,590
2014-2015,13,BURNET COUNTY,Grade 10,554
2014-2015,13,BURNET COUNTY,Grade 11,512
2014-2015,13,BURNET COUNTY,Grade 12,470
2014-2015,13,CALDWELL COUNTY,Early Education,21
2014-2015,13,CALDWELL COUNTY,Pre-kindergarten,323
2014-2015,13,CALDWELL COUNTY,Kindergarten,499
2014-2015,13,CALDWELL COUNTY,Grade  1,560
2014-2015,13,CALDWELL COUNTY,Grade  2,530
2014-2015,13,CALDWELL COUNTY,Grade  3,508
2014-2015,13,CALDWELL COUNTY,Grade  4,529
2014-2015,13,CALDWELL COUNTY,Grade  5,542
2014-2015,13,CALDWELL COUNTY,Grade  6,504
2014-2015,13,CALDWELL COUNTY,Grade  7,455
2014-2015,13,CALDWELL COUNTY,Grade  8,549
2014-2015,13,CALDWELL COUNTY,Grade  9,493
2014-2015,13,CALDWELL COUNTY,Grade 10,542
