T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,
,,,,
YEAR ,REGION,COUNTY,GRADE,ENROLLMENT
2014-2015,5,JEFFERSON COUNTY,Kindergarten,3336
2014-2015,5,JEFFERSON COUNTY,Grade  1,3329
2014-2015,5,JEFFERSON COUNTY,Grade  2,3369
2014-2015,5,JEFFERSON COUNTY,Grade  3,3202
2014-2015,5,JEFFERSON COUNTY,Grade  4,3055
2014-2015,5,JEFFERSON COUNTY,Grade  5,2909
2014-2015,5,JEFFERSON COUNTY,Grade  6,2919
2014-2015,5,JEFFERSON COUNTY,Grade  7,2897
2014-2015,5,JEFFERSON COUNTY,Grade  8,2945
2014-2015,5,JEFFERSON COUNTY,Grade  9,3136
2014-2015,5,JEFFERSON COUNTY,Grade 10,2944
2014-2015,5,JEFFERSON COUNTY,Grade 11,2652
2014-2015,5,JEFFERSON COUNTY,Grade 12,2599
2014-2015,1,JIM HOGG COUNTY,Pre-kindergarten,43
2014-2015,1,JIM HOGG COUNTY,Kindergarten,98
2014-2015,1,JIM HOGG COUNTY,Grade  1,92
2014-2015,1,JIM HOGG COUNTY,Grade  2,100
2014-2015,1,JIM HOGG COUNTY,Grade  3,98
2014-2015,1,JIM HOGG COUNTY,Grade  4,88
2014-2015,1,JIM HOGG COUNTY,Grade  5,76
2014-2015,1,JIM HOGG COUNTY,Grade  6,82
2014-2015,1,JIM HOGG COUNTY,Grade  7,83
2014-2015,1,JIM HOGG COUNTY,Grade  8,79
2014-2015,1,JIM HOGG COUNTY,Grade  9,79
2014-2015,1,JIM HOGG COUNTY,Grade 10,77
2014-2015,1,JIM HOGG COUNTY,Grade 11,71
2014-2015,1,JIM HOGG COUNTY,Grade 12,62
2014-2015,2,JIM WELLS COUNTY,Early Education,22
2014-2015,2,JIM WELLS COUNTY,Pre-kindergarten,374
2014-2015,2,JIM WELLS COUNTY,Kindergarten,624
2014-2015,2,JIM WELLS COUNTY,Grade  1,683
2014-2015,2,JIM WELLS COUNTY,Grade  2,717
2014-2015,2,JIM WELLS COUNTY,Grade  3,634
2014-2015,2,JIM WELLS COUNTY,Grade  4,629
2014-2015,2,JIM WELLS COUNTY,Grade  5,600
2014-2015,2,JIM WELLS COUNTY,Grade  6,602
2014-2015,2,JIM WELLS COUNTY,Grade  7,596
2014-2015,2,JIM WELLS COUNTY,Grade  8,609
2014-2015,2,JIM WELLS COUNTY,Grade  9,752
2014-2015,2,JIM WELLS COUNTY,Grade 10,558
2014-2015,2,JIM WELLS COUNTY,Grade 11,545
2014-2015,2,JIM WELLS COUNTY,Grade 12,461
2014-2015,11,JOHNSON COUNTY,Early Education,95
2014-2015,11,JOHNSON COUNTY,Pre-kindergarten,934
2014-2015,11,JOHNSON COUNTY,Kindergarten,2415
2014-2015,11,JOHNSON COUNTY,Grade  1,2504
2014-2015,11,JOHNSON COUNTY,Grade  2,2508
2014-2015,11,JOHNSON COUNTY,Grade  3,2501
2014-2015,11,JOHNSON COUNTY,Grade  4,2508
2014-2015,11,JOHNSON COUNTY,Grade  5,2495
2014-2015,11,JOHNSON COUNTY,Grade  6,2400
2014-2015,11,JOHNSON COUNTY,Grade  7,2454
2014-2015,11,JOHNSON COUNTY,Grade  8,2490
2014-2015,11,JOHNSON COUNTY,Grade  9,2719
2014-2015,11,JOHNSON COUNTY,Grade 10,2463
2014-2015,11,JOHNSON COUNTY,Grade 11,2227
2014-2015,11,JOHNSON COUNTY,Grade 12,1980
2014-2015,14,JONES COUNTY,Early Education,-9999999
2014-2015,14,JONES COUNTY,Pre-kindergarten,164
2014-2015,14,JONES COUNTY,Kindergarten,200
2014-2015,14,JONES COUNTY,Grade  1,183
2014-2015,14,JONES COUNTY,Grade  2,186
2014-2015,14,JONES COUNTY,Grade  3,192
2014-2015,14,JONES COUNTY,Grade  4,219
2014-2015,14,JONES COUNTY,Grade  5,191
2014-2015,14,JONES COUNTY,Grade  6,197
2014-2015,14,JONES COUNTY,Grade  7,197
2014-2015,14,JONES COUNTY,Grade  8,217
2014-2015,14,JONES COUNTY,Grade  9,217
2014-2015,14,JONES COUNTY,Grade 10,169
2014-2015,14,JONES COUNTY,Grade 11,172
2014-2015,14,JONES COUNTY,Grade 12,188
2014-2015,3,KARNES COUNTY/03,Early Education,-9999999
2014-2015,3,KARNES COUNTY/03,Pre-kindergarten,125
2014-2015,3,KARNES COUNTY/03,Kindergarten,163
2014-2015,3,KARNES COUNTY/03,Grade  1,149
2014-2015,3,KARNES COUNTY/03,Grade  2,174
2014-2015,3,KARNES COUNTY/03,Grade  3,186
2014-2015,3,KARNES COUNTY/03,Grade  4,165
2014-2015,3,KARNES COUNTY/03,Grade  5,156
2014-2015,3,KARNES COUNTY/03,Grade  6,165
2014-2015,3,KARNES COUNTY/03,Grade  7,168
2014-2015,3,KARNES COUNTY/03,Grade  8,156
2014-2015,3,KARNES COUNTY/03,Grade  9,178
2014-2015,3,KARNES COUNTY/03,Grade 10,113
2014-2015,3,KARNES COUNTY/03,Grade 11,124
2014-2015,3,KARNES COUNTY/03,Grade 12,139
2014-2015,20,KARNES COUNTY/20,Early Education,-9999999
2014-2015,20,KARNES COUNTY/20,Kindergarten,23
2014-2015,20,KARNES COUNTY/20,Grade  1,28
2014-2015,20,KARNES COUNTY/20,Grade  2,14
2014-2015,20,KARNES COUNTY/20,Grade  3,33
2014-2015,20,KARNES COUNTY/20,Grade  4,18
2014-2015,20,KARNES COUNTY/20,Grade  5,31
2014-2015,20,KARNES COUNTY/20,Grade  6,30
2014-2015,20,KARNES COUNTY/20,Grade  7,29
2014-2015,20,KARNES COUNTY/20,Grade  8,30
2014-2015,20,KARNES COUNTY/20,Grade  9,28
2014-2015,20,KARNES COUNTY/20,Grade 10,35
2014-2015,20,KARNES COUNTY/20,Grade 11,34
2014-2015,20,KARNES COUNTY/20,Grade 12,26
2014-2015,AL,KARNES COUNTY/ALL,Early Education,-9999999
2014-2015,AL,KARNES COUNTY/ALL,Pre-kindergarten,125
2014-2015,AL,KARNES COUNTY/ALL,Kindergarten,186
2014-2015,AL,KARNES COUNTY/ALL,Grade  1,177
2014-2015,AL,KARNES COUNTY/ALL,Grade  2,188
2014-2015,AL,KARNES COUNTY/ALL,Grade  3,219
2014-2015,AL,KARNES COUNTY/ALL,Grade  4,183
2014-2015,AL,KARNES COUNTY/ALL,Grade  5,187
2014-2015,AL,KARNES COUNTY/ALL,Grade  6,195
2014-2015,AL,KARNES COUNTY/ALL,Grade  7,197
2014-2015,AL,KARNES COUNTY/ALL,Grade  8,186
2014-2015,AL,KARNES COUNTY/ALL,Grade  9,206
2014-2015,AL,KARNES COUNTY/ALL,Grade 10,148
2014-2015,AL,KARNES COUNTY/ALL,Grade 11,158
2014-2015,AL,KARNES COUNTY/ALL,Grade 12,165
2014-2015,10,KAUFMAN COUNTY,Early Education,66
2014-2015,10,KAUFMAN COUNTY,Pre-kindergarten,863
2014-2015,10,KAUFMAN COUNTY,Kindergarten,1915
2014-2015,10,KAUFMAN COUNTY,Grade  1,1982
2014-2015,10,KAUFMAN COUNTY,Grade  2,2022
2014-2015,10,KAUFMAN COUNTY,Grade  3,1978
2014-2015,10,KAUFMAN COUNTY,Grade  4,1914
2014-2015,10,KAUFMAN COUNTY,Grade  5,1886
2014-2015,10,KAUFMAN COUNTY,Grade  6,1961
2014-2015,10,KAUFMAN COUNTY,Grade  7,1975
2014-2015,10,KAUFMAN COUNTY,Grade  8,2099
2014-2015,10,KAUFMAN COUNTY,Grade  9,2151
2014-2015,10,KAUFMAN COUNTY,Grade 10,1939
2014-2015,10,KAUFMAN COUNTY,Grade 11,1796
2014-2015,10,KAUFMAN COUNTY,Grade 12,1653
2014-2015,13,KENDALL COUNTY/13,Early Education,-9999999
2014-2015,13,KENDALL COUNTY/13,Pre-kindergarten,37
2014-2015,13,KENDALL COUNTY/13,Kindergarten,71
2014-2015,13,KENDALL COUNTY/13,Grade  1,86
2014-2015,13,KENDALL COUNTY/13,Grade  2,91
2014-2015,13,KENDALL COUNTY/13,Grade  3,82
2014-2015,13,KENDALL COUNTY/13,Grade  4,90
2014-2015,13,KENDALL COUNTY/13,Grade  5,76
2014-2015,13,KENDALL COUNTY/13,Grade  6,90
2014-2015,13,KENDALL COUNTY/13,Grade  7,89
2014-2015,13,KENDALL COUNTY/13,Grade  8,82
2014-2015,13,KENDALL COUNTY/13,Grade  9,84
2014-2015,13,KENDALL COUNTY/13,Grade 10,87
2014-2015,13,KENDALL COUNTY/13,Grade 11,69
2014-2015,13,KENDALL COUNTY/13,Grade 12,89
2014-2015,20,KENDALL COUNTY/20,Early Education,34
2014-2015,20,KENDALL COUNTY/20,Pre-kindergarten,15
2014-2015,20,KENDALL COUNTY/20,Kindergarten,509
2014-2015,20,KENDALL COUNTY/20,Grade  1,505
2014-2015,20,KENDALL COUNTY/20,Grade  2,516
2014-2015,20,KENDALL COUNTY/20,Grade  3,502
2014-2015,20,KENDALL COUNTY/20,Grade  4,582
2014-2015,20,KENDALL COUNTY/20,Grade  5,604
2014-2015,20,KENDALL COUNTY/20,Grade  6,564
2014-2015,20,KENDALL COUNTY/20,Grade  7,601
2014-2015,20,KENDALL COUNTY/20,Grade  8,631
2014-2015,20,KENDALL COUNTY/20,Grade  9,711
2014-2015,20,KENDALL COUNTY/20,Grade 10,651
2014-2015,20,KENDALL COUNTY/20,Grade 11,615
2014-2015,20,KENDALL COUNTY/20,Grade 12,554
2014-2015,AL,KENDALL COUNTY/ALL,Early Education,37
2014-2015,AL,KENDALL COUNTY/ALL,Pre-kindergarten,52
2014-2015,AL,KENDALL COUNTY/ALL,Kindergarten,580
2014-2015,AL,KENDALL COUNTY/ALL,Grade  1,591
2014-2015,AL,KENDALL COUNTY/ALL,Grade  2,607
2014-2015,AL,KENDALL COUNTY/ALL,Grade  3,584
2014-2015,AL,KENDALL COUNTY/ALL,Grade  4,672
2014-2015,AL,KENDALL COUNTY/ALL,Grade  5,680
2014-2015,AL,KENDALL COUNTY/ALL,Grade  6,654
2014-2015,AL,KENDALL COUNTY/ALL,Grade  7,690
2014-2015,AL,KENDALL COUNTY/ALL,Grade  8,713
2014-2015,AL,KENDALL COUNTY/ALL,Grade  9,795
2014-2015,AL,KENDALL COUNTY/ALL,Grade 10,738
2014-2015,AL,KENDALL COUNTY/ALL,Grade 11,684
2014-2015,AL,KENDALL COUNTY/ALL,Grade 12,643
2014-2015,2,KENEDY COUNTY,Pre-kindergarten,13
2014-2015,2,KENEDY COUNTY,Kindergarten,9
2014-2015,2,KENEDY COUNTY,Grade  1,8
2014-2015,2,KENEDY COUNTY,Grade  2,12
2014-2015,2,KENEDY COUNTY,Grade  3,12
2014-2015,2,KENEDY COUNTY,Grade  4,7
2014-2015,2,KENEDY COUNTY,Grade  5,12
2014-2015,2,KENEDY COUNTY,Grade  6,5
2014-2015,17,KENT COUNTY,Early Education,-9999999
2014-2015,17,KENT COUNTY,Pre-kindergarten,11
2014-2015,17,KENT COUNTY,Kindergarten,8
2014-2015,17,KENT COUNTY,Grade  1,8
2014-2015,17,KENT COUNTY,Grade  2,5
2014-2015,17,KENT COUNTY,Grade  3,6
2014-2015,17,KENT COUNTY,Grade  4,9
2014-2015,17,KENT COUNTY,Grade  5,11
2014-2015,17,KENT COUNTY,Grade  6,7
2014-2015,17,KENT COUNTY,Grade  7,13
2014-2015,17,KENT COUNTY,Grade  8,10
2014-2015,17,KENT COUNTY,Grade  9,13
2014-2015,17,KENT COUNTY,Grade 10,7
2014-2015,17,KENT COUNTY,Grade 11,10
2014-2015,17,KENT COUNTY,Grade 12,8
2014-2015,20,KERR COUNTY,Early Education,30
2014-2015,20,KERR COUNTY,Pre-kindergarten,382
2014-2015,20,KERR COUNTY,Kindergarten,495
2014-2015,20,KERR COUNTY,Grade  1,516
2014-2015,20,KERR COUNTY,Grade  2,504
2014-2015,20,KERR COUNTY,Grade  3,503
2014-2015,20,KERR COUNTY,Grade  4,514
2014-2015,20,KERR COUNTY,Grade  5,502
2014-2015,20,KERR COUNTY,Grade  6,454
2014-2015,20,KERR COUNTY,Grade  7,513
2014-2015,20,KERR COUNTY,Grade  8,519
2014-2015,20,KERR COUNTY,Grade  9,500
2014-2015,20,KERR COUNTY,Grade 10,507
2014-2015,20,KERR COUNTY,Grade 11,475
2014-2015,20,KERR COUNTY,Grade 12,437
2014-2015,15,KIMBLE COUNTY,Early Education,-9999999
2014-2015,15,KIMBLE COUNTY,Pre-kindergarten,36
2014-2015,15,KIMBLE COUNTY,Kindergarten,57
2014-2015,15,KIMBLE COUNTY,Grade  1,47
2014-2015,15,KIMBLE COUNTY,Grade  2,47
2014-2015,15,KIMBLE COUNTY,Grade  3,38
2014-2015,15,KIMBLE COUNTY,Grade  4,49
2014-2015,15,KIMBLE COUNTY,Grade  5,48
2014-2015,15,KIMBLE COUNTY,Grade  6,35
2014-2015,15,KIMBLE COUNTY,Grade  7,43
2014-2015,15,KIMBLE COUNTY,Grade  8,56
2014-2015,15,KIMBLE COUNTY,Grade  9,55
2014-2015,15,KIMBLE COUNTY,Grade 10,52
2014-2015,15,KIMBLE COUNTY,Grade 11,55
2014-2015,15,KIMBLE COUNTY,Grade 12,39
2014-2015,17,KING COUNTY,Pre-kindergarten,-9999999
2014-2015,17,KING COUNTY,Kindergarten,7
2014-2015,17,KING COUNTY,Grade  1,10
2014-2015,17,KING COUNTY,Grade  2,5
2014-2015,17,KING COUNTY,Grade  3,7
2014-2015,17,KING COUNTY,Grade  4,6
2014-2015,17,KING COUNTY,Grade  5,10
2014-2015,17,KING COUNTY,Grade  6,12
2014-2015,17,KING COUNTY,Grade  7,9
2014-2015,17,KING COUNTY,Grade  8,7
2014-2015,17,KING COUNTY,Grade  9,9
2014-2015,17,KING COUNTY,Grade 10,9
2014-2015,17,KING COUNTY,Grade 11,10
2014-2015,17,KING COUNTY,Grade 12,12
2014-2015,20,KINNEY COUNTY,Pre-kindergarten,38
2014-2015,20,KINNEY COUNTY,Kindergarten,38
2014-2015,20,KINNEY COUNTY,Grade  1,50
2014-2015,20,KINNEY COUNTY,Grade  2,41
2014-2015,20,KINNEY COUNTY,Grade  3,52
2014-2015,20,KINNEY COUNTY,Grade  4,36
2014-2015,20,KINNEY COUNTY,Grade  5,47
2014-2015,20,KINNEY COUNTY,Grade  6,43
2014-2015,20,KINNEY COUNTY,Grade  7,52
2014-2015,20,KINNEY COUNTY,Grade  8,41
2014-2015,20,KINNEY COUNTY,Grade  9,59
2014-2015,20,KINNEY COUNTY,Grade 10,54
2014-2015,20,KINNEY COUNTY,Grade 11,42
2014-2015,20,KINNEY COUNTY,Grade 12,48
2014-2015,2,KLEBERG COUNTY,Early Education,14
2014-2015,2,KLEBERG COUNTY,Pre-kindergarten,265
2014-2015,2,KLEBERG COUNTY,Kindergarten,389
2014-2015,2,KLEBERG COUNTY,Grade  1,428
2014-2015,2,KLEBERG COUNTY,Grade  2,399
2014-2015,2,KLEBERG COUNTY,Grade  3,365
2014-2015,2,KLEBERG COUNTY,Grade  4,354
2014-2015,2,KLEBERG COUNTY,Grade  5,356
2014-2015,2,KLEBERG COUNTY,Grade  6,334
2014-2015,2,KLEBERG COUNTY,Grade  7,390
2014-2015,2,KLEBERG COUNTY,Grade  8,389
2014-2015,2,KLEBERG COUNTY,Grade  9,492
2014-2015,2,KLEBERG COUNTY,Grade 10,362
2014-2015,2,KLEBERG COUNTY,Grade 11,326
2014-2015,2,KLEBERG COUNTY,Grade 12,313
2014-2015,9,KNOX COUNTY,Early Education,18
2014-2015,9,KNOX COUNTY,Pre-kindergarten,68
2014-2015,9,KNOX COUNTY,Kindergarten,67
2014-2015,9,KNOX COUNTY,Grade  1,71
2014-2015,9,KNOX COUNTY,Grade  2,67
2014-2015,9,KNOX COUNTY,Grade  3,41
2014-2015,9,KNOX COUNTY,Grade  4,51
2014-2015,9,KNOX COUNTY,Grade  5,48
2014-2015,9,KNOX COUNTY,Grade  6,52
2014-2015,9,KNOX COUNTY,Grade  7,56
2014-2015,9,KNOX COUNTY,Grade  8,59
2014-2015,9,KNOX COUNTY,Grade  9,48
2014-2015,9,KNOX COUNTY,Grade 10,71
2014-2015,9,KNOX COUNTY,Grade 11,50
2014-2015,9,KNOX COUNTY,Grade 12,37
2014-2015,20,LA SALLE COUNTY,Early Education,-9999999
2014-2015,20,LA SALLE COUNTY,Pre-kindergarten,92
2014-2015,20,LA SALLE COUNTY,Kindergarten,113
2014-2015,20,LA SALLE COUNTY,Grade  1,107
2014-2015,20,LA SALLE COUNTY,Grade  2,102
2014-2015,20,LA SALLE COUNTY,Grade  3,100
2014-2015,20,LA SALLE COUNTY,Grade  4,97
2014-2015,20,LA SALLE COUNTY,Grade  5,104
2014-2015,20,LA SALLE COUNTY,Grade  6,95
2014-2015,20,LA SALLE COUNTY,Grade  7,90
2014-2015,20,LA SALLE COUNTY,Grade  8,104
2014-2015,20,LA SALLE COUNTY,Grade  9,110
2014-2015,20,LA SALLE COUNTY,Grade 10,78
2014-2015,20,LA SALLE COUNTY,Grade 11,88
2014-2015,20,LA SALLE COUNTY,Grade 12,72
2014-2015,8,LAMAR COUNTY,Early Education,33
2014-2015,8,LAMAR COUNTY,Pre-kindergarten,453
2014-2015,8,LAMAR COUNTY,Kindergarten,618
2014-2015,8,LAMAR COUNTY,Grade  1,661
2014-2015,8,LAMAR COUNTY,Grade  2,686
2014-2015,8,LAMAR COUNTY,Grade  3,631
2014-2015,8,LAMAR COUNTY,Grade  4,647
2014-2015,8,LAMAR COUNTY,Grade  5,600
2014-2015,8,LAMAR COUNTY,Grade  6,595
2014-2015,8,LAMAR COUNTY,Grade  7,627
2014-2015,8,LAMAR COUNTY,Grade  8,604
2014-2015,8,LAMAR COUNTY,Grade  9,685
2014-2015,8,LAMAR COUNTY,Grade 10,638
2014-2015,8,LAMAR COUNTY,Grade 11,556
2014-2015,8,LAMAR COUNTY,Grade 12,527
2014-2015,17,LAMB COUNTY,Early Education,14
2014-2015,17,LAMB COUNTY,Pre-kindergarten,185
2014-2015,17,LAMB COUNTY,Kindergarten,238
2014-2015,17,LAMB COUNTY,Grade  1,249
2014-2015,17,LAMB COUNTY,Grade  2,217
2014-2015,17,LAMB COUNTY,Grade  3,255
2014-2015,17,LAMB COUNTY,Grade  4,213
2014-2015,17,LAMB COUNTY,Grade  5,217
2014-2015,17,LAMB COUNTY,Grade  6,217
2014-2015,17,LAMB COUNTY,Grade  7,228
2014-2015,17,LAMB COUNTY,Grade  8,222
2014-2015,17,LAMB COUNTY,Grade  9,215
2014-2015,17,LAMB COUNTY,Grade 10,203
2014-2015,17,LAMB COUNTY,Grade 11,182
2014-2015,17,LAMB COUNTY,Grade 12,221
2014-2015,12,LAMPASAS COUNTY,Early Education,15
2014-2015,12,LAMPASAS COUNTY,Pre-kindergarten,112
2014-2015,12,LAMPASAS COUNTY,Kindergarten,234
2014-2015,12,LAMPASAS COUNTY,Grade  1,296
2014-2015,12,LAMPASAS COUNTY,Grade  2,274
2014-2015,12,LAMPASAS COUNTY,Grade  3,259
2014-2015,12,LAMPASAS COUNTY,Grade  4,275
2014-2015,12,LAMPASAS COUNTY,Grade  5,253
2014-2015,12,LAMPASAS COUNTY,Grade  6,283
2014-2015,12,LAMPASAS COUNTY,Grade  7,260
2014-2015,12,LAMPASAS COUNTY,Grade  8,280
2014-2015,12,LAMPASAS COUNTY,Grade  9,293
2014-2015,12,LAMPASAS COUNTY,Grade 10,306
2014-2015,12,LAMPASAS COUNTY,Grade 11,262
2014-2015,12,LAMPASAS COUNTY,Grade 12,236
2014-2015,3,LAVACA COUNTY,Early Education,9
2014-2015,3,LAVACA COUNTY,Pre-kindergarten,122
2014-2015,3,LAVACA COUNTY,Kindergarten,171
2014-2015,3,LAVACA COUNTY,Grade  1,188
2014-2015,3,LAVACA COUNTY,Grade  2,196
2014-2015,3,LAVACA COUNTY,Grade  3,176
2014-2015,3,LAVACA COUNTY,Grade  4,159
2014-2015,3,LAVACA COUNTY,Grade  5,171
2014-2015,3,LAVACA COUNTY,Grade  6,183
2014-2015,3,LAVACA COUNTY,Grade  7,162
2014-2015,3,LAVACA COUNTY,Grade  8,174
2014-2015,3,LAVACA COUNTY,Grade  9,161
2014-2015,3,LAVACA COUNTY,Grade 10,159
2014-2015,3,LAVACA COUNTY,Grade 11,145
2014-2015,3,LAVACA COUNTY,Grade 12,133
2014-2015,13,LEE COUNTY,Early Education,16
2014-2015,13,LEE COUNTY,Pre-kindergarten,101
2014-2015,13,LEE COUNTY,Kindergarten,232
2014-2015,13,LEE COUNTY,Grade  1,255
2014-2015,13,LEE COUNTY,Grade  2,218
2014-2015,13,LEE COUNTY,Grade  3,236
2014-2015,13,LEE COUNTY,Grade  4,205
2014-2015,13,LEE COUNTY,Grade  5,233
2014-2015,13,LEE COUNTY,Grade  6,212
2014-2015,13,LEE COUNTY,Grade  7,216
2014-2015,13,LEE COUNTY,Grade  8,207
2014-2015,13,LEE COUNTY,Grade  9,263
2014-2015,13,LEE COUNTY,Grade 10,243
2014-2015,13,LEE COUNTY,Grade 11,254
2014-2015,13,LEE COUNTY,Grade 12,224
2014-2015,6,LEON COUNTY,Early Education,20
2014-2015,6,LEON COUNTY,Pre-kindergarten,151
2014-2015,6,LEON COUNTY,Kindergarten,242
2014-2015,6,LEON COUNTY,Grade  1,231
2014-2015,6,LEON COUNTY,Grade  2,214
2014-2015,6,LEON COUNTY,Grade  3,220
2014-2015,6,LEON COUNTY,Grade  4,230
2014-2015,6,LEON COUNTY,Grade  5,219
2014-2015,6,LEON COUNTY,Grade  6,202
2014-2015,6,LEON COUNTY,Grade  7,201
2014-2015,6,LEON COUNTY,Grade  8,263
2014-2015,6,LEON COUNTY,Grade  9,230
2014-2015,6,LEON COUNTY,Grade 10,235
2014-2015,6,LEON COUNTY,Grade 11,247
2014-2015,6,LEON COUNTY,Grade 12,214
2014-2015,4,LIBERTY COUNTY/04,Early Education,57
2014-2015,4,LIBERTY COUNTY/04,Pre-kindergarten,510
2014-2015,4,LIBERTY COUNTY/04,Kindergarten,1150
2014-2015,4,LIBERTY COUNTY/04,Grade  1,1163
2014-2015,4,LIBERTY COUNTY/04,Grade  2,1170
2014-2015,4,LIBERTY COUNTY/04,Grade  3,1081
2014-2015,4,LIBERTY COUNTY/04,Grade  4,1087
2014-2015,4,LIBERTY COUNTY/04,Grade  5,1106
2014-2015,4,LIBERTY COUNTY/04,Grade  6,1050
2014-2015,4,LIBERTY COUNTY/04,Grade  7,1097
2014-2015,4,LIBERTY COUNTY/04,Grade  8,1112
2014-2015,4,LIBERTY COUNTY/04,Grade  9,1192
2014-2015,4,LIBERTY COUNTY/04,Grade 10,1039
2014-2015,4,LIBERTY COUNTY/04,Grade 11,948
2014-2015,4,LIBERTY COUNTY/04,Grade 12,764
2014-2015,5,LIBERTY COUNTY/05,Early Education,-9999999
2014-2015,5,LIBERTY COUNTY/05,Pre-kindergarten,31
2014-2015,5,LIBERTY COUNTY/05,Kindergarten,32
2014-2015,5,LIBERTY COUNTY/05,Grade  1,33
2014-2015,5,LIBERTY COUNTY/05,Grade  2,25
2014-2015,5,LIBERTY COUNTY/05,Grade  3,38
2014-2015,5,LIBERTY COUNTY/05,Grade  4,34
2014-2015,5,LIBERTY COUNTY/05,Grade  5,25
2014-2015,5,LIBERTY COUNTY/05,Grade  6,35
2014-2015,5,LIBERTY COUNTY/05,Grade  7,38
2014-2015,5,LIBERTY COUNTY/05,Grade  8,35
2014-2015,5,LIBERTY COUNTY/05,Grade  9,41
2014-2015,5,LIBERTY COUNTY/05,Grade 10,44
2014-2015,5,LIBERTY COUNTY/05,Grade 11,36
2014-2015,5,LIBERTY COUNTY/05,Grade 12,43
2014-2015,AL,LIBERTY COUNTY/ALL,Early Education,58
2014-2015,AL,LIBERTY COUNTY/ALL,Pre-kindergarten,541
2014-2015,AL,LIBERTY COUNTY/ALL,Kindergarten,1182
2014-2015,AL,LIBERTY COUNTY/ALL,Grade  1,1196
2014-2015,AL,LIBERTY COUNTY/ALL,Grade  2,1195
2014-2015,AL,LIBERTY COUNTY/ALL,Grade  3,1119
2014-2015,AL,LIBERTY COUNTY/ALL,Grade  4,1121
2014-2015,AL,LIBERTY COUNTY/ALL,Grade  5,1131
2014-2015,AL,LIBERTY COUNTY/ALL,Grade  6,1085
2014-2015,AL,LIBERTY COUNTY/ALL,Grade  7,1135
2014-2015,AL,LIBERTY COUNTY/ALL,Grade  8,1147
2014-2015,AL,LIBERTY COUNTY/ALL,Grade  9,1233
2014-2015,AL,LIBERTY COUNTY/ALL,Grade 10,1083
2014-2015,AL,LIBERTY COUNTY/ALL,Grade 11,984
2014-2015,AL,LIBERTY COUNTY/ALL,Grade 12,807
2014-2015,12,LIMESTONE COUNTY,Early Education,16
2014-2015,12,LIMESTONE COUNTY,Pre-kindergarten,321
2014-2015,12,LIMESTONE COUNTY,Kindergarten,335
2014-2015,12,LIMESTONE COUNTY,Grade  1,314
2014-2015,12,LIMESTONE COUNTY,Grade  2,315
2014-2015,12,LIMESTONE COUNTY,Grade  3,307
2014-2015,12,LIMESTONE COUNTY,Grade  4,297
2014-2015,12,LIMESTONE COUNTY,Grade  5,264
2014-2015,12,LIMESTONE COUNTY,Grade  6,291
2014-2015,12,LIMESTONE COUNTY,Grade  7,287
2014-2015,12,LIMESTONE COUNTY,Grade  8,291
2014-2015,12,LIMESTONE COUNTY,Grade  9,302
2014-2015,12,LIMESTONE COUNTY,Grade 10,279
2014-2015,12,LIMESTONE COUNTY,Grade 11,276
2014-2015,12,LIMESTONE COUNTY,Grade 12,244
2014-2015,16,LIPSCOMB COUNTY,Early Education,-9999999
2014-2015,16,LIPSCOMB COUNTY,Pre-kindergarten,69
2014-2015,16,LIPSCOMB COUNTY,Kindergarten,64
2014-2015,16,LIPSCOMB COUNTY,Grade  1,66
2014-2015,16,LIPSCOMB COUNTY,Grade  2,71
2014-2015,16,LIPSCOMB COUNTY,Grade  3,57
2014-2015,16,LIPSCOMB COUNTY,Grade  4,73
2014-2015,16,LIPSCOMB COUNTY,Grade  5,74
2014-2015,16,LIPSCOMB COUNTY,Grade  6,48
2014-2015,16,LIPSCOMB COUNTY,Grade  7,60
2014-2015,16,LIPSCOMB COUNTY,Grade  8,54
2014-2015,16,LIPSCOMB COUNTY,Grade  9,71
2014-2015,16,LIPSCOMB COUNTY,Grade 10,52
2014-2015,16,LIPSCOMB COUNTY,Grade 11,58
2014-2015,16,LIPSCOMB COUNTY,Grade 12,57
2014-2015,2,LIVE OAK COUNTY,Early Education,8
2014-2015,2,LIVE OAK COUNTY,Pre-kindergarten,44
2014-2015,2,LIVE OAK COUNTY,Kindergarten,151
2014-2015,2,LIVE OAK COUNTY,Grade  1,158
2014-2015,2,LIVE OAK COUNTY,Grade  2,141
2014-2015,2,LIVE OAK COUNTY,Grade  3,123
2014-2015,2,LIVE OAK COUNTY,Grade  4,126
2014-2015,2,LIVE OAK COUNTY,Grade  5,136
2014-2015,2,LIVE OAK COUNTY,Grade  6,137
2014-2015,2,LIVE OAK COUNTY,Grade  7,152
2014-2015,2,LIVE OAK COUNTY,Grade  8,147
2014-2015,2,LIVE OAK COUNTY,Grade  9,159
2014-2015,2,LIVE OAK COUNTY,Grade 10,134
2014-2015,2,LIVE OAK COUNTY,Grade 11,122
2014-2015,2,LIVE OAK COUNTY,Grade 12,112
2014-2015,13,LLANO COUNTY,Early Education,10
2014-2015,13,LLANO COUNTY,Pre-kindergarten,61
2014-2015,13,LLANO COUNTY,Kindergarten,140
2014-2015,13,LLANO COUNTY,Grade  1,156
2014-2015,13,LLANO COUNTY,Grade  2,136
2014-2015,13,LLANO COUNTY,Grade  3,132
